"","status","family","pval","qval","genes","num_cells_expressed"
"Foxo6","OK","negbinomial.size",0.518729249087968,0.789228213574497,"Foxo6",17
"Foxp1","OK","negbinomial.size",1.82274749788396e-12,5.96850743192982e-11,"Foxp1",162
"Foxp2","OK","negbinomial.size",3.17947658108926e-17,1.60977700849267e-15,"Foxp2",60
"Foxp3","OK","negbinomial.size",0.868828152779188,0.978721065811836,"Foxp3",54
"Foxp4","OK","negbinomial.size",0.663176401513152,0.884479871414885,"Foxp4",92
"Foxred1","OK","negbinomial.size",0.0185609289150763,0.084019231189583,"Foxred1",61
"Foxred2","OK","negbinomial.size",0.000132501753882714,0.00127629587073278,"Foxred2",10
"Foxs1","OK","negbinomial.size",5.56312063887956e-08,1.00202696111358e-06,"Foxs1",27
"Fpgs","OK","negbinomial.size",0.944350056871333,0.999998135217801,"Fpgs",35
"Fpgt","OK","negbinomial.size",0.30340202318858,0.588239471529444,"Fpgt",38
"Fra10ac1","OK","negbinomial.size",0.400410666666901,0.693040582208583,"Fra10ac1",75
"Fras1","OK","negbinomial.size",1.29304337367765e-16,6.28273090839342e-15,"Fras1",131
"Frat2","OK","negbinomial.size",0.750382228465936,0.927785103103449,"Frat2",16
"Frem1","OK","negbinomial.size",0.0216448123743462,0.0945685239705845,"Frem1",77
"Frem2","OK","negbinomial.size",2.04820511343607e-08,3.98078574466205e-07,"Frem2",36
"Frg1","OK","negbinomial.size",0.701212154443508,0.902819741382589,"Frg1",205
"Frk","OK","negbinomial.size",0.00218602947880821,0.0145856341194014,"Frk",55
"Frmd4a","OK","negbinomial.size",0.50383871497283,0.778965424098358,"Frmd4a",104
"Frmd4b","OK","negbinomial.size",0.175301542443331,0.419662363180312,"Frmd4b",166
"Frmd6","OK","negbinomial.size",0.0973296672910964,0.285358270281682,"Frmd6",38
"Frmd8","OK","negbinomial.size",0.0878869373619576,0.265878371983713,"Frmd8",53
"Frmpd1","OK","negbinomial.size",1.49962225416306e-06,2.18506023732344e-05,"Frmpd1",17
"Frrs1","OK","negbinomial.size",5.56771551846616e-05,0.000590070114314136,"Frrs1",34
"Frs2","OK","negbinomial.size",0.0484587378537875,0.174463038882025,"Frs2",97
"Frs3","OK","negbinomial.size",0.974725554511958,0.999998135217801,"Frs3",17
"Fry","OK","negbinomial.size",0.608779405133222,0.851118671754882,"Fry",62
"Fryl","OK","negbinomial.size",0.0343971727145357,0.134430557395174,"Fryl",126
"Frzb","OK","negbinomial.size",0.102381943744917,0.295321308328231,"Frzb",37
"Fsbp","OK","negbinomial.size",0.865954372791339,0.977128026232385,"Fsbp",28
"Fscn1","OK","negbinomial.size",0.000466587311110719,0.00385887240829387,"Fscn1",151
"Fsd1","OK","negbinomial.size",0.00144452520143955,0.0102150989890532,"Fsd1",36
"Fsd1l","OK","negbinomial.size",0.539984162076593,0.803508169056921,"Fsd1l",58
"Fshr","OK","negbinomial.size",4.99566916983326e-32,5.96017955410799e-30,"Fshr",23
"Fst","OK","negbinomial.size",0.810029836086789,0.958262274184744,"Fst",14
"Fstl1","OK","negbinomial.size",0.00239956557130802,0.0157455505158037,"Fstl1",229
