"","status","family","pval","qval","genes","num_cells_expressed"
"Dsel","OK","negbinomial.size",0.000181553143522278,0.00144463611741513,"Dsel",83
"Pbx3","OK","negbinomial.size",0.00136889015248217,0.008508843076937,"Pbx3",227
"Akap2","OK","negbinomial.size",0.000100553460695818,0.000850480306051758,"Akap2",96
"Mboat1","OK","negbinomial.size",0.00913101359833256,0.0421061585017076,"Mboat1",24
"Angptl6","OK","negbinomial.size",6.25122255596291e-08,8.88843504800498e-07,"Angptl6",33
"Alpk3","OK","negbinomial.size",0.0017182899039658,0.0103708672332539,"Alpk3",71
"Ctnnal1","OK","negbinomial.size",0.000145087598336643,0.0011835994762107,"Ctnnal1",196
"Itpkb","OK","negbinomial.size",1.14963176028075e-06,1.35887120531029e-05,"Itpkb",90
"Zfhx3","OK","negbinomial.size",4.91809598265746e-09,8.17830208500016e-08,"Zfhx3",344
"Man2a2","OK","negbinomial.size",0.0075979127097033,0.036398414716056,"Man2a2",212
"Prc1","OK","negbinomial.size",1.16957191630389e-14,3.51205738295825e-13,"Prc1",133
"Tspyl5","OK","negbinomial.size",1.41888447095445e-07,1.9325022621682e-06,"Tspyl5",159
"Cpq","OK","negbinomial.size",7.28274260058932e-13,1.82968027248272e-11,"Cpq",233
"Siglecf","OK","negbinomial.size",8.39398297641603e-07,1.01500396259405e-05,"Siglecf",21
